index,name,value,vary,lb,ub,init
cell,cell,1.00000,False,0.0,np.inf,1.00000
medium,medium,1.00000,False,0.0,np.inf,1.00000
heat,heat,0.00000,False,0.0,np.np.inf,0.00000
glc_0,glc_0,0.09765,False,0.0,np.inf,0.09765
g1p_0,g1p_0,0.10000,False,0.0,np.inf,0.10000
g6p_0,g6p_0,2.67500,False,0.0,np.inf,2.67500
trh_0,trh_0,0.05000,False,0.0,np.inf,0.05000
t6p_0,t6p_0,0.02000,False,0.0,np.inf,0.02000
udg_0,udg_0,0.70000,False,0.0,np.inf,0.70000
pgi_Vmax,pgi_Vmax,1071.00000,False,-np.inf,np.inf,1071.00000
pgi_Kg6p,pgi_Kg6p,1.40000,False,-np.inf,np.inf,1.40000
pgi_Kf6p,pgi_Kf6p,0.29000,False,-np.inf,np.inf,0.29000
pgi_Keq,pgi_Keq,0.30000,False,-np.inf,np.inf,0.30000
pgi_shock,pgi_shock,1.00000,False,-np.inf,np.inf,1.00000
hxt_Vmax,hxt_Vmax,97.24000,False,-np.inf,np.inf,97.24000
hxt_Kglc,hxt_Kglc,1.19180,False,-np.inf,np.inf,1.19180
hxt_Ki,hxt_Ki,0.91000,False,-np.inf,np.inf,0.91000
hxt_shock,hxt_shock,8.00000,False,-np.inf,np.inf,8.00000
hxk_Vmax,hxk_Vmax,289.60000,False,-np.inf,np.inf,289.60000
hxk_Kglc,hxk_Kglc,0.08000,False,-np.inf,np.inf,0.08000
hxk_Katp,hxk_Katp,0.15000,False,-np.inf,np.inf,0.15000
hxk_Kg6p,hxk_Kg6p,30.00000,False,-np.inf,np.inf,30.00000
hxk_Kadp,hxk_Kadp,0.23000,False,-np.inf,np.inf,0.23000
hxk_Keq,hxk_Keq,2000.00000,False,-np.inf,np.inf,2000.00000
hxk_Kit6p,hxk_Kit6p,0.04000,False,-np.inf,np.inf,0.04000
hxk_shock,hxk_shock,8.00000,False,-np.inf,np.inf,8.00000
pgm_Vmax,pgm_Vmax,0.35450,False,-np.inf,np.inf,0.35450
pgm_Kg6p,pgm_Kg6p,0.05000,False,-np.inf,np.inf,0.05000
pgm_Kg1p,pgm_Kg1p,0.02300,False,-np.inf,np.inf,0.02300
pgm_Keq,pgm_Keq,0.16670,False,-np.inf,np.inf,0.16670
pgm_shock,pgm_shock,16.00000,False,-np.inf,np.inf,16.00000
tpp_Vmax,tpp_Vmax,6.50000,False,-np.inf,np.inf,6.50000
tpp_Kt6p,tpp_Kt6p,0.50000,False,-np.inf,np.inf,0.50000
tpp_shock,tpp_shock,18.00000,False,-np.inf,np.inf,18.00000
tps_Vmax,tps_Vmax,1.37100,False,-np.inf,np.inf,1.37100
tps_Kg6p,tps_Kg6p,3.80000,False,-np.inf,np.inf,3.80000
tps_Kudg,tps_Kudg,0.88600,False,-np.inf,np.inf,0.88600
tps_shock,tps_shock,12.00000,False,-np.inf,np.inf,12.00000
tps_activity,tps_activity,1.00000,False,-np.inf,np.inf,1.00000
nth_Vmax,nth_Vmax,15.20000,False,-np.inf,np.inf,15.20000
nth_Ktrh,nth_Ktrh,2.99000,False,-np.inf,np.inf,2.99000
nth_shock,nth_shock,6.00000,False,-np.inf,np.inf,6.00000
ugp_Vmax,ugp_Vmax,36.82000,False,-np.inf,np.inf,36.82000
ugp_Kutp,ugp_Kutp,0.11000,False,-np.inf,np.inf,0.11000
ugp_Kiutp,ugp_Kiutp,0.11000,False,-np.inf,np.inf,0.11000
ugp_Kg1p,ugp_Kg1p,0.32000,False,-np.inf,np.inf,0.32000
ugp_Kiudg,ugp_Kiudg,0.00350,False,-np.inf,np.inf,0.00350
ugp_shock,ugp_shock,16.00000,False,-np.inf,np.inf,16.00000